mngentity,"""Mission Statement"" ",Stated mission statement?,Primary Objective,Other Objective 1,Other Objective 2,Sub Org of,Source,Flag,Notes
DIST_REG_Ambrose Recreation and Park District,"In order to serve the diverse recreational needs of individuals and families and to enrich the quality of life for all residents, the Ambrose Recreation and Park District is committed to providing park facilities, programs and activities for all ages.",Yes,Recreation/parks/Trails/greenways,,,,https://www.ambroserec.org/our-mission ,,
DIST_REG_Apple Valley Recreation and Park District,Providing a better way to live and play.,Yes,,Cultural,,Town of Apple Valley,https://www.applevalley.org/services/parks-recreation,,
DIST_REG_Aptos Sanitation District,,No,,,,County of Santa Cruz,https://dpw.co.santa-cruz.ca.us/Home/SewerWater.aspx,Yes,This seems to not exist anymore. Aptos is an unincorporated town in Santa Cruz County and they seem to be serviced by Soquel Creek Water District.
DIST_REG_Arbuckle Parks and Recreation District,,No,,,,,http://www.arbuckleparksandrecreation.org/#aboutus,,
DIST_REG_Arcade Creek Recreation and Park District,"Creating Community through People, Parks, & Programs",Yes,Recreation/parks/Trails/greenways,,,,https://www.acrpd.com/our-mission ,,
DIST_REG_Arcadia Unified School District,,No,,,,,https://www.ausd.net/,Yes,"No mission statment but there is a listed purpose: ""To challenge and inspire students to make a positive and profound impact on their world."""
DIST_REG_Arden Manor Recreation and Park District,The mission of the Arden Manor Recreation and Park District is to serve all District residents by providing positive recreation experiences and by preserving and maintaining park-lands and facilities through efficient and effective management.,Yes,Recreation/parks/Trails/greenways,,,,http://www.amrpd.org/wp/about-arden-manor/ ,,
DIST_REG_Arden Park Recreation and Park District,"Arden Park Recreation and Park District provides safe, clean, beautiful parks and facilities, along with well-rounded professionally managed wholesome leisure time activities for all the residents. Services are provided to enrich the quality of life for people living in the District and to provide economic value. The District Board and Staff values public service, people, teamwork, innovation, quality, integrity, excellence, and the environment.",Yes,Recreation/parks/Trails/greenways,,,,https://www.aprpd.org/mission-and-history,,
DIST_REG_Aromona Community Services District,,No,,,,,,Yes,spelled wrong and website not working
DIST_REG_Artesia Cemetery District,"To provide an attractive, safe and serene cemetery environment that offers cost effective, dignified interment services in a compassionate manner that honors diversity and cultural values.",Yes,Cultural,,,,https://www.artesiacemetery.com/our-mission,,
DIST_REG_Auburn Recreation District,"The mission of the Auburn Recreation and Parks District is to provide an excellent system of parks, recreation facilities, programs and services that enrich the lives of our citizens",Yes,Recreation/parks/Trails/greenways,,,,https://www.auburnrec.com/search.php#gsc.tab=0&gsc.q=mission&gsc.sort=,Yes,"Mission not stated on website, but on a PDF"
DIST_REG_Azusa Unified School District,The Azusa Unified School District equips every student with the knowledge and skills for college and career readiness to fulfill their purpose and positively impact society.,Yes,Cultural,,,,https://www.azusa.org/,,
DIST_REG_Bardsdale Cemetery District,,No,Cultural,,,,https://www.bardsdalecemetery.com/ ,,
DIST_REG_Barstow Recreation and Park District,,No,,Cultural,,City of Barstow,https://www.barstowca.org/residents/parks-and-recreation-division,,
DIST_REG_Bear Mountain Recreation and Park District,"The Mission of Bear Mountain Recreation and Parks District is to serve as Recreation and Parks specialists, providing exceptional and sustainable services.",Yes,,Cultural,,,https://www.bearmtnprk.com/,,
DIST_REG_Bear Valley Springs Community Services District,"The Bear Valley Community ServicesDistrict is committed to providing highquality municipal services to theresidents of Bear Valley Springs in areliable, professional, safe, cost effective and environmentallyconscious manner.  ",Yes,Watershed protection,Recreation/parks/Trails/greenways,Cultural,,https://www.bvcsd.com/about,,
DIST_REG_Beaumont-Cherry Valley Recreation and Park District,"The mission of Beaumont-Cherry Valley Recreation and Park District is to enrich and fulfill the lives of community members by providing parks, park facilities and recreational programs of outstanding quality.",Yes,,,,,https://www.bcvparks.com/,,
DIST_REG_Big Bear Valley Recreation and Park District,"Big Bear Valley Recreation and Park District will enhance community by promoting healthy activities and positive recreational experiences and strives to maintain a standard of excellence through our people, parks and programs.",Yes,,Cultural,,San Bernardino County,http://www.bigbearparks.com/Home.html,,
DIST_REG_Bolinas Community Public Utility District,"As a public utility district, the BCPUD’s governance authority is codified in the California Public Utilities Act of 1913, which empowers the district to provide a range of municipal services.  At present, the BCPUD directly or indirectly provides water, sewer, solid waste, drainage, and parks and recreation services within its boundaries.  The district is governed by a five-member Board of Directors who are elected by registered voters (or appointed in-lieu of a contested election) to staggered four-year terms.",Yes,Watershed protection,Recreation/parks/Trails/greenways,,,https://bcpud.org/,,
DIST_REG_Boulder Creek Recreation and Park District,"To provide quality programs and services through the provision of facilities, parks, and activities that enriches and improves the quality of lives of people living in our community.",Yes,Recreation/parks/Trails/greenways,,,,https://www.bcrpd.org/,,
DIST_REG_Brookstrail Greenbelt,,No,Recreation/parks/Trails/greenways,,,,https://parks.smcgov.org/brooks-creek-trail,,
DIST_REG_Brooktrails Community Services District,,No,Cultural,Recreation/parks/Trails/greenways,Watershed protection,,https://www.btcsd.org/,,
DIST_REG_Browns Valley Irrigation District,,No,Watershed protection,,,,https://www.bvid.org/about/,,
DIST_REG_California Reclamation District 2140,,No,Watershed protection,,,,https://www.countyofglenn.net/committee/reclamation-district-no-2140/welcome,,
DIST_REG_Cambria Public Cemetery District,,No,Cultural,,,,https://www.cambriacemetery.com/services.html,,
DIST_REG_Cameron Park Community Services District,"It is the Mission of the Cameron Park Community Services District to preserve and enhance the quality of life and to safeguard the health, safety and welfare of our community.",Yes,Recreation/parks/Trails/greenways,Cultural,,,https://www.cameronpark.org/about-us,,
DIST_REG_Camp Meeker Recreation and Parks District,,No,Recreation/parks/Trails/greenways,,,,https://campmeeker.org/,,
DIST_REG_Carmel Valley Recreation Park District,"To provide and maintain a beautiful park for the benefit of the entire Carmel Valley Community to enjoy green grass, hold community gatherings, offer families and organizations a place to have picnics, for dog lovers to exercise their pets, and for people to play horseshoe games.  ",Yes,Recreation/parks/Trails/greenways,,,,https://cvrpd.specialdistrict.org/mission-statement,,
DIST_REG_Carmichael Recreation and Park District,Our mission is to satisfy the recreational needs of the community by providing a wide range of facilities and opportunities to enrich the quality of life.,Yes,Recreation/parks/Trails/greenways,,,,https://www.carmichaelpark.com/our-mission,,
DIST_REG_Carpinteria Cemetery District,,No,Cultural,,,,http://www.carpinteriacemetery.com/,,
DIST_REG_Castroville Cemetery District,,No,Cultural,,,,https://www.findagrave.com/cemetery/7885/castroville-public-cemetery,,
DIST_REG_Central Plumas Recreation and Parks District,,No,Recreation/parks/Trails/greenways,,,,http://cprpd.com/,,
DIST_REG_Coachella Valley Association of Governments,,No,,,,,https://www.cvag.org/,,
DIST_REG_Coalinga Cemetery District,,No,Cultural,,,,http://www.fresnolafco.org/documents/MSRs/Final_Coalinga-Huron%20CD%20MSR_09132017.pdf,Yes,Says they adopted a mission statement but couldn’t find it anywhere
DIST_REG_Coalinga-Huron Recreation and Park District,,No,Recreation/parks/Trails/greenways,,,,https://chrpd.org/about-us/,,
DIST_REG_Coastal San Luis Resource Conservation District,"The Coastal San Luis Resource Conservation District is committed to protecting and enhancing natural resources through education, restoration, conservation, and collaboration with local stakeholders.",Yes,,Watershed protection,Farmland/ranchlands,,http://www.coastalrcd.org/,,
DIST_REG_Coloma-Lotus,,No,,,,,,Yes,Doesn't specify what organization this is
DIST_REG_Concord Landscaping and Lighting Maintenance District No. 3,,No,,,,,,Yes,No website or anything
DIST_REG_Conejo Recreation and Park District,"To enrich the quality of life for our community by preserving and enhancing recreational opportunities, parks, and open space.",Yes,Recreation/parks/Trails/greenways,,,,https://www.crpd.org/,,
DIST_REG_Conejo Valley Unified School District,,No,,,,,https://www.conejousd.org/,,
DIST_REG_Consumnes Community Services District,"The Cosumnes CSD is dedicated to enhancing the quality of life of the residents, businesses, visitors, and employees within our diverse community by protecting lives, property, and the environment through superior fire suppression, emergency medical services, fire prevention, and special operations response; and by providing parks and recreation services through well maintained parks and recreational opportunities for health, wellness, and social interactions.",Yes,Recreation/parks/Trails/greenways,,,,https://www.yourcsd.com/DocumentCenter/View/10790/1010-Organizational-Mission-Vision-and-Values-PDF?bidId=,Yes,"Spelled wrong and mission statement on a pdf attached to the website, but not directly on the website"
DIST_REG_Cordova Recreation and Park District,Lead the region in recreation and parks through excellence and transparency in serving the needs of our diverse and growing community.,Yes,Recreation/parks/Trails/greenways,,,,https://crpd.com/,,
DIST_REG_County Service Area 42,,No,,Watershed protection,,County of San Bernardino,http://www.sbclafco.org/FiscalIndicators/BOS/CSA42.aspx,,
DIST_REG_Culver City Unified School District,"The mission of the Culver City Unified School District, a diverse haven of excellence, is to ensure that each student possesses the academic and personal skills necessary to achieve his/her highest potential as a valued, responsible member of society by providing challenging, personalized educational experiences in a safe, nurturing environment and by fostering a passion for teaching and learning with committed parent and community involvement.",Yes,Cultural,,,,https://www.ccusd.org/,,
DIST_REG_Desert Recreation District,"Desert Recreation District’s mission is to enrich the quality of life for Coachella Valley residents by acquiring, developing, operating and maintaining a community-focused parks and recreation system and preserving it for future generations.",Yes,Recreation/parks/Trails/greenways,,,,https://www.myrecreationdistrict.com/,,
DIST_REG_Dos Palos Cemetery District,,No,Cultural,,,,https://www.findagrave.com/cemetery/1431943/dos-palos-cemetery,,
DIST_REG_Downey Unified School District,"Downey Unified School District is committed to developing all students to be self-motivated learners and productive, responsible and compassionate members of an ever-changing global society. Our highly qualified staff foster meaningful relationships with students, parents, and the community while providing a relevant and rigorous curriculum in facilities that advance teaching and learning.",Yes,Cultural,,,,https://web.dusd.net/,,
DIST_REG_Dunsmuir Recreation and Park District,"The Dunsmuir Recreation & Parks District (DRD) was organized as the first recreation district on June 21, 1946 and is focused in providing diverse recreational opportunities and adequate facilities through stewardship and partnership. ",Yes,Recreation/parks/Trails/greenways,,,,https://www.dunsmuirparks.org/mission-statement,,
DIST_REG_Durham Recreation and Park District,"The Durham Recreation and Park District became one of five recreational special districts in Butte County in 1958. The District is a public service agency created by the people to provide adequate recreational areas and facilities to meet both present and future needs of the District.
Durham Recreation and Park District strives to provide quality and efficiently maintained recreation and park facilities, and comprehensive programs that promote community involvement, healthy lifestyles, cultural awareness, fiscal responsibility and environmental stewardship for a rural community.",Yes,Recreation/parks/Trails/greenways,,,,https://durhamrecreation.recdesk.com/Community/Page?pageId=23443,,
DIST_REG_East Bay Municipal Utility District,"To manage the natural resources with which the District is entrusted; to provide reliable, high quality water and wastewater services at fair and reasonable rates for the people of the East Bay; and to preserve and protect the environment for future generations.",Yes,Watershed protection,,,,https://www.ebmud.com/about-us/who-we-are/,,
DIST_REG_El Dorado Hills Community Service District,"Enhance the quality of life for the El Dorado Hills Community through innovative, responsible leadership and by providing superior services and facilities.",Yes,Recreation/parks/Trails/greenways,Cultural,,,https://www.eldoradohillscsd.org/about/index.php,,
DIST_REG_Exeter Cemetery District,,No,Cultural,,,,https://www.findagrave.com/cemetery/208393/exeter-district-cemetery,,
DIST_REG_Fair Oaks Recreation and Park District,Enriching Lives through Exceptional Parks and Recreation Opportunities That Strengthen Our Community.,Yes,Recreation/parks/Trails/greenways,,,,https://www.forpd.org/150/District-History-Mission,,
DIST_REG_Fall River Resource Conservation District,"The mission of the Fall River RCD is to support private and public landowners in the use and management of natural resources that will ensure the sustained highest economic, social, and environmental benefits of these resources. This support is expressed through the coordination of public agency referrals and information, the implementation of natural resource programs, education, and the organization of land management services. ",Yes,Wildlife habitat,,,,https://www.fallriverrcd.org/,Yes,Resource Management
DIST_REG_Feather River Recreation and Park District,"We will provide and maintain quality parks, recreation experiences and related facilities and programs for all residents of the District in a fiscally sustainable manner that compliments the natural resources and cultural heritage of our community.",Yes,Recreation/parks/Trails/greenways,,,,https://www.frrpd.com/about-us,,
DIST_REG_Fowler Cemetery District,"To serve and provide interment services to individuals and families, and insure the respectful treatment of the deceased.",Yes,Cultural,,,,http://www.fresnolafco.org/documents/MSRs/Fowler%20CD%20MSR_06142017.pdf,,
DIST_REG_Fresno Metropolitan Flood Control District,It is the purpose of the Fresno Metropolitan Flood Control District to control storm and other surface water flows: Preventing property damange; and Managing such waters for long-term beneficial use within the District. District objectives shall be achieved through adherence to the following standards: Performance excellence by District employees and contractors; and Environmental and economic sensitivity; and Maximized public benefit through multiple use of District facilities,Yes,Watershed protection,,,,https://www.fresnofloodcontrol.org/,,
DIST_REG_Fulton - El Camino,Enhance the quality of life for our community by providing park facilities and recreation programs of exceptional quality while maintaining and protecting our park lands for future generations.,Yes,Recreation/parks/Trails/greenways,,,,https://www.fecrpd.com/our-mission,,
