mentity,acres_in_partership
PVT_PVT_Mare Island Historic Park Foundation,0
PVT_PVT_Wagon Wheel Canyon Community Association,0
PVT_PVT_Rancho Santa Margarita Landscape and Recreation Corporation,0
NGO_NGO_San Dieguito River Valley Land Conservancy,0
PVT_PVT_Johnson Ranch Community Association,0
NGO_NGO_San Elijo Lagoon Conservancy,0
PVT_PVT_Pardee Homes,0
NGO_NGO_San Gabriel Cemetery Association,0
PVT_PVT_Surf Pointe Homeowners Association,0
NGO_NGO_San Joaquin River Parkway and Conservation Trust,0
NGO_NGO_San Diego Zoo Global,0
NGO_NGO_Santa Barbara Trust for Historic Preservation,0
PVT_PVT_Laguna Village Owners Association Inc,0
NGO_NGO_Jacoby Creek Land Trust,0
PVT_PVT_Newport Ridge North Maintenance Association,0
NGO_NGO_Santa Lucia Conservancy,0
PVT_PVT_Poco Lago Homeowners Association,0
NGO_NGO_Nature Trust of the Santa Monica Mountains,0
PVT_PVT_Shady Canyon Community Association,0
NGO_NGO_Morro Coast Audubon Society,0
PVT_PVT_Turtle Rock Glen Community Association,0
NGO_NGO_Sempervirens Fund,0
PVT_PVT_Woodbury Community Association,0
NGO_NGO_Sequoia Audubon Society,0
PVT_PVT_Heritage Park Community Association,0
NGO_NGO_San Diego Humane Society and SPCA,0
PVT_PVT_L F Maintenance Corporation,0
NGO_NGO_Serra Cross Conservancy,0
PVT_PVT_LNR Kearny Mesa,0
NGO_NGO_Shasta Land Trust,0
PVT_PVT_MS Rialto the Lakes CA,0
NGO_NGO_Kingsburg Historical Society,0
PVT_PVT_Painted Trails Community Association,0
NGO_NGO_Sierra Historic Sites Association,0
PVT_PVT_Paseo del Sol Master Association,0
NGO_NGO_Sierra Madre Cemetery Association,0
PVT_PVT_Quail Canyon Estates,0
NGO_NGO_Roosevelt Memorial Park Association,0
PVT_PVT_Sea Cliff Homeowners Association,0
NGO_NGO_Siskiyou Land Trust,0
PVT_PVT_Standard Pacific Corp.,0
NGO_NGO_Lake County Land Trust,0
PVT_PVT_Trails of Calavera Hills Homeowners Association,0
NGO_NGO_Land Conservancy of San Luis Obispo County,0
PVT_PVT_Village of Pavoreal Homeowners Association,0
NGO_NGO_Stanford University,0
NGO_NGO_Mountains Restoration Trust,0
NGO_NGO_Stewards of the Coast and Redwoods,0
NGO_NGO_Quail Ridge Wilderness Conservancy,0
NGO_NGO_Tejon Ranch Conservancy,0
PVT_PVT_Harvard Square Maintenance Association,0
NGO_NGO_The Collaborative Eagle Rock Beautiful,0
PVT_PVT_Jasmine Creek Community Association,0
NGO_NGO_North Star Historic Conservancy,0
PVT_PVT_Knolls of Calavera Hills Homeowners Association,0
NGO_NGO_Northcoast Regional Land Trust,0
PVT_PVT_La Costa Valley Master Association,0
NGO_NGO_The Environmental Trust,0
PVT_PVT_Lakeshore Homes Association,0
NGO_NGO_The Habitat Trust,0
PVT_PVT_Los Ranchos Community Association,0
NGO_NGO_The Humane Society Wildlife Land Trust,0
PVT_PVT_Morning Ridge Homeowners Association,0
NGO_NGO_Friends of the Tuolumne,0
PVT_PVT_Nellie Gail Ranch Owners Association,0
NGO_NGO_Russian Riverkeeper,0
PVT_PVT_Northpark Square Maintenance Association,0
NGO_NGO_Land Trust of Santa Cruz County,0
PVT_PVT_Paloma del Sol Homeowners Association,0
NGO_NGO_The Old Mill Foundation,0
PVT_PVT_Park Place Homeowners Association,0
NGO_NGO_Irvine Ranch Conservancy,0
PVT_PVT_Petco Park Owner,0
NGO_NGO_Odd Fellows Sierra Recreation Association,0
PVT_PVT_Ponderosa Country Homeowners Association,0
NGO_NGO_Tierra Miguel Foundation and Farm,0
PVT_PVT_Ranch at Carlsbad Homeowners Association,0
NGO_NGO_Trinidad Coastal Land Trust,0
PVT_PVT_San Diego Gas & Electric,0
NGO_NGO_Off the Leash,0
PVT_PVT_Seaside Heights Homeowners Association,0
"NGO_NGO_Lao Family Community Development, Inc.",0
PVT_PVT_Sierra Bonita Community Association,0
NGO_NGO_Pacific Forest Trust,0
PVT_PVT_Summit at Turtle Ridge Community Association,0
NGO_NGO_Tulare County Historical Society,0
PVT_PVT_Telescope Point Homeowners Association,0
NGO_NGO_Tuleyome,0
PVT_PVT_Trust No. 82-0192-00,0
NGO_NGO_Tuolumne County Land Trust,0
PVT_PVT_University Community Association,0
NGO_NGO_Unknown NGO,0
PVT_PVT_Villagio Homeowners Association,0
NGO_NGO_Volcan Mountain Preserve Foundation,0
PVT_PVT_Westpark Maintenance District,0
NGO_NGO_Watsonville Wetlands Watch,0
PVT_PVT_Windwood Homeowners Association,0
NGO_NGO_Westport Village Society,0
PVT_UNK_Unknown Private,0
NGO_NGO_Mother Lode Land Trust,0
STAT_OTHS_California Department of Transportation,0
NGO_NGO_Lassen Land and Trails Trust,0
"PVT_PVT_Habitat Restoration Sciences, Inc.",0
NGO_NGO_YMCA of Southeast - Rio Vista,0
PVT_PVT_Helix Environmental Planning,0
NGO_NGO_Pasadena Cemetery Association,0
PVT_PVT_Home Owners Association - Unknown Name,0
PVT_PVT_4-S Ranch Masters Association,0
PVT_PVT_JC Resorts,0
PVT_PVT_Alga Hills Homeowners Association,0
PVT_PVT_Kelly Ranch Corporate Center,0
PVT_PVT_American Golf,0
PVT_PVT_Kozicki Family Community Property Trust,0
PVT_PVT_Amerige Heights Community Association,0
PVT_PVT_La Costa Oaks Community Association,0
PVT_PVT_Arroyo Maintenance Corporation,0
PVT_PVT_Laguna Niguel Rolling Hills Community Association,0
PVT_PVT_Aviara Master Association,0
PVT_PVT_Lake Mission Viejo Association,0
PVT_PVT_Aviara Premier Collection Association,0
PVT_PVT_Land Wrights,0
PVT_PVT_Bay Club,0
PVT_PVT_Los Angeles Golf Club,0
PVT_PVT_Big League Dreams,0
PVT_PVT_Marbrisa Homeowners Association,0
PVT_PVT_Black Mountain Ranch,0
PVT_PVT_Marea at Aviara Homeowners Association,0
PVT_PVT_Bonita Canyon Maintenance Association,0
PVT_PVT_Moulton Ranch III Homeowners Association,0
PVT_PVT_Brickell Enterprises,0
PVT_PVT_Murphy Howard Trust,0
PVT_PVT_Briosa Owners Association,0
PVT_PVT_Newport Coast Community Association,0
PVT_PVT_Broadmoor Campus View Community Association,0
PVT_PVT_Northpark Maintenance Association,0
PVT_PVT_Broadmoor Sea View Community Association,0
PVT_PVT_Oak Creek Village Maintenance Association,0
PVT_PVT_Cabrillo Power,0
PVT_PVT_Palm Gardens Community Association,0
PVT_PVT_Calavera Hills Master Association,0
PVT_PVT_Palomar Oaks Business Center Association,0
PVT_PVT_Cantamar Homeowners' Association,0
PVT_PVT_Park Paseo Homeowners Association,0
PVT_PVT_Canyon Creek Homeowners Association,0
PVT_PVT_Parkside Community Association,0
PVT_PVT_Canyon Estates Homeowners Association,0
PVT_PVT_Paseo Westpark Maintenance Association,0
PVT_PVT_Cape at Calavera Hills Homeowners Association,0
PVT_PVT_Pinecrest Community Association,0
PVT_PVT_Carlsbad Airport Centre Homeowners Association,0
PVT_PVT_Poinsettia Heights Homeowners Association,0
PVT_PVT_Carlsbad Arroyo Vista Homeowners Association,0
PVT_PVT_Private Landowner,0
PVT_PVT_Carlsbad Canterbury Association,0
PVT_PVT_Quail Hill Community Association,0
PVT_PVT_Carlsbad Meadows Homeowners Association,0
PVT_PVT_Rancho Carrillo Master Association,0
PVT_PVT_Carlsbad Ranch Homeowners Association,0
PVT_PVT_Saltaire at Carlsbad Homeowners Association,0
PVT_PVT_Centurion Artesian Trails Corporation,0
PVT_PVT_San Diego Urban Corps Habitat Services,0
PVT_PVT_Chevron Corporation,0
PVT_PVT_Seabright Carlsbad Homeowners Association,0
PVT_PVT_Cielo Homeowners Association,0
PVT_PVT_Serrano Park Community Association,0
PVT_PVT_Cliffs at Calavera Hills Homeowners Association,0
PVT_PVT_Shorepointe Homeowners Association,0
NGO_NGO_Independent Order of Odd Fellows,0
PVT_PVT_Southern California Edison,0
UNK_UNK_Unknown State,0
PVT_PVT_Stonebridge Estates Master Association,0
PVT_PVT_Colony Club Community Association,0
PVT_PVT_Sun Ridge Community Association,0
PVT_PVT_Conservation Development Properties,0
PVT_PVT_Tamarack Point Master Homeowners Association,0
PVT_PVT_Continental Residential,0
PVT_PVT_Town Center Association,0
PVT_PVT_Continuing Life Communities,0
PVT_PVT_Trailwood Maintenance Association,0
PVT_PVT_Costco Wholesale Corporation,0
PVT_PVT_Turtle Rock Broadmoor Community Association,0
PVT_PVT_Cristalla Homeowners Association,0
PVT_PVT_Turtle Rock Ridge Association,0
PVT_PVT_Crystal Cove Community Association,0
PVT_PVT_Viadana Homeowners Assocation,0
NGO_NGO_Mendocino Land Trust,0
PVT_PVT_Village Park Community Association,0
STAT_SDOL_Arizona State Land Department,0
PVT_PVT_Villas of Calavera Hills Homeowners Association,0
STAT_SDOL_State of Nevada,0
PVT_PVT_Western Pacific Housing,0
NGO_NGO_Mission Santa Ines,0
PVT_PVT_Westridge Homeowners Association,0
NGO_NGO_Montalvo Association,0
PVT_PVT_Winchester Owners Association,0
PVT_PVT_Eastbluff Homeowners Community Association,0
PVT_PVT_Woodbridge Village Association,0
PVT_PVT_Encantada Homeowners Association,0
PVT_PVT_Woodside-Irvine Homeowners Association,0
PVT_PVT_Foss Lake Conservation LP,0
STAT_NGO_California Tahoe Conservancy,0
NGO_NGO_Rancho Santa Fe Community Foundation,0
STAT_OTHS_California Department of General Services,0
NGO_NGO_Marin Agricultural Land Trust,0
STAT_OTHS_California Department of Veterans Affairs,0
NGO_NGO_Huntington Library and Botanical Gardens,0
STAT_OTHS_Santa Monica Mountains Conservancy,0
NGO_NGO_McKinleyville Land Trust,0
NGO_NGO_San Diego Habitat Conservancy,0
NGO_NGO_San Diego Audubon Society,0
PVT_PVT_Golden Rain Foundation of Laguna Woods,0
STAT_OTHS_Napa Valley College,0
PVT_PVT_GraniteRock,0
STAT_OTHS_San Diego State University,0
PVT_PVT_Green Valley Homeowners Recreation Association,0
NGO_NGO_National Trust for Historic Preservation,0
PVT_PVT_Greentree Homes Association,0
PVT_PVT_Culverdale Community Association,0
NGO_NGO_Mendocino Woodlands Camp Association,0
PVT_PVT_CZ Master Association,0
STAT_SDOL_Unknown,0
PVT_PVT_Daybreak Community Church,0
NGO_NGO_Glendora Community Conservancy,0
PVT_PVT_Deerfield Community Association,0
PVT_PVT_Del Webb,0
PVT_PVT_Colinas De Oro Homeowners Association,0
NGO_NGO_Friends of the Enchanted Meadow,0
PVT_PVT_Colony at Calavera Hills Homeowners Association,0
"LOC_CNTY_Calaveras, County of",0
"LOC_CITY_Rialto, City of",0
LOC_CNTY_Placer County Community Development Resource Agency,0
"LOC_CITY_Rocklin, City of",0
"LOC_CITY_Wildomar, City of",0
"LOC_CITY_Rohnert Park, City of",0
"LOC_CITY_Palo Alto, City of",0
"LOC_CITY_Rolling Hills Estates, City of",0
"LOC_CNTY_Shasta, County of",0
