mentity,acres_in_partership
FED_BLM,2802149.23
FED_USFS,1620133.463
STAT_SFW_California Department of Fish and Wildlife,741069.5697
STAT_SDOL_California State Lands Commission,484058.28
STAT_SPR_California Department of Parks and Recreation,359546.8323
FED_USBR,165806.2842
FED_NPS,146450.4841
"LOC_CITY_Los Angeles - Department of Water and Power, City of",110103.6089
NGO_NGO_The Nature Conservancy,83857.21038
NGO_NGO_The Conservation Fund - California,54793.73367
NGO_NGO_The Wildlands Conservancy,53013.2245
DIST_REG_Sonoma County Agricultural Preservation and Open Space District,42870.04666
NGO_NGO_Santa Catalina Island Conservancy,41506.36719
"LOC_CNTY_Los Angeles County, CA",41506.36719
FED_NRCS,36747.21581
STAT_OTHS_University of California,23322.75491
FED_FWS,19941.37955
NGO_NGO_Wildlife Heritage Foundation,18456.11238
NGO_NGO_Peninsula Open Space Trust,12291.22604
NGO_NGO_Friends of the Desert Mountains,11733.6624
FED_USACE,11713.06161
NGO_NGO_Land Trust of Napa County,10222.79697
"LOC_CNTY_Santa Barbara, County of",9723.736618
NGO_NGO_Save the Redwoods League,9263.879112
LOC_UNKL_Unknown Local Government,9130.224319
STAT_OTHS_California Department of Water Resources,8853.086426
NGO_NGO_National Audubon Society,8769.541405
NGO_NGO_California Rangeland Trust,7605.587219
NGO_NGO_Access Fund,7570.23291
NGO_NGO_American River Conservancy,7072.705185
NGO_NGO_Native American Land Conservancy,6462.727539
STAT_OTHS_California Department of Forestry and Fire Protection,6193.0345
STAT_OTHS_California State Coastal Conservancy,5743.283203
"LOC_CNTY_San Diego, County of",5738.643974
DIST_RWD_Metropolitan Water District of Southern California,5524.446152
DIST_REG_Midpeninsula Regional Open Space District,5454.121689
NGO_NGO_Truckee Donner Land Trust,5310.525208
DIST_REG_East Bay Regional Park District,5276.965714
NGO_NGO_Eastern Sierra Land Trust,4827.777298
"LOC_CNTY_Sonoma County Regional Parks Dept., County of",4399.907837
"LOC_CITY_Rancho Mirage, City of",4297.112885
DIST_RWD_Contra Costa Water District,4124.331055
NGO_NGO_Sierra Foothill Conservancy,4062.24173
"LOC_CITY_Palm Springs, City of",3929.981689
DIST_REG_Imperial Irrigation District,3687.737152
STAT_OTHS_Coachella Valley Mountains Conservancy,3326.977448
"LOC_CITY_Escondido, City of",3038.777344
NGO_NGO_Solano Land Trust,2976.459351
NGO_NGO_Sacramento Valley Conservancy,2972.165573
"LOC_CITY_San Diego, City of",2935.903389
NGO_NGO_Audubon Canyon Ranch,2859.700806
"LOC_CNTY_San Bernardino, County of",2695.484756
DIST_REG_Santa Clara Valley Open Space Authority,2260.769745
NGO_NGO_Mojave Desert Land Trust,2172.920853
NGO_NGO_Sonoma Land Trust,2133.792084
